im_idx: 0, iters: 1, loss: -2.28, w: [0.10500000000000001, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 1, iters: 1, loss: -0.05, w: [0.10500000000000001, 0.095, 0.10500000000000001, 0.10500000000000001, 0.10500000000000001, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 2, iters: 1, loss: -4.79, w: [0.095, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 3, iters: 1, loss: -3.91, w: [0.10500000000000001, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 4, iters: 1, loss: -6.02, w: [0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 5, iters: 1, loss: -7.41, w: [0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 6, iters: 1, loss: -2.78, w: [0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 7, iters: 1, loss: -2.02, w: [0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 8, iters: 1, loss: -0.73, w: [0.10500000000000001, 0.095, 0.095, 0.10500000000000001, 0.095, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 9, iters: 1, loss: -1.30, w: [0.10500000000000001, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 10, iters: 1, loss: -2.33, w: [0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 11, iters: 1, loss: -0.76, w: [0.10500000000000001, 0.10500000000000001, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 12, iters: 1, loss: -5.48, w: [0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 13, iters: 1, loss: -0.26, w: [0.10500000000000001, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 14, iters: 1, loss: -6.78, w: [0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 15, iters: 1, loss: -3.46, w: [0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 16, iters: 1, loss: -5.84, w: [0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 17, iters: 1, loss: -0.41, w: [0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 18, iters: 2, loss: -2.60, w: [0.095, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 19, iters: 1, loss: -0.85, w: [0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 20, iters: 1, loss: -0.91, w: [0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 21, iters: 1, loss: -3.93, w: [0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 22, iters: 1, loss: -2.91, w: [0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 23, iters: 1, loss: -2.89, w: [0.10500000000000001, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 24, iters: 1, loss: -0.15, w: [0.10500000000000001, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 25, iters: 1, loss: -1.37, w: [0.095, 0.095, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 26, iters: 1, loss: -1.46, w: [0.095, 0.10500000000000001, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 27, iters: 1, loss: -6.23, w: [0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 28, iters: 1, loss: -0.65, w: [0.10500000000000001, 0.095, 0.095, 0.095, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 29, iters: 1, loss: -6.91, w: [0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 30, iters: 1, loss: -0.67, w: [0.10500000000000001, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 31, iters: 1, loss: -4.55, w: [0.095, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 32, iters: 1, loss: -0.59, w: [0.10500000000000001, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 33, iters: 1, loss: -1.13, w: [0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 34, iters: 1, loss: -1.72, w: [0.095, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 35, iters: 1, loss: -1.13, w: [0.10500000000000001, 0.10500000000000001, 0.095, 0.10500000000000001, 0.095, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 36, iters: 1, loss: -2.62, w: [0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 37, iters: 1, loss: -1.65, w: [0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 38, iters: 1, loss: -2.60, w: [0.10500000000000001, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 39, iters: 1, loss: -0.96, w: [0.10500000000000001, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 40, iters: 1, loss: -2.56, w: [0.095, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
