im_idx: 0, iters: 39, loss: -0.02, w: [0.11000000000000001, 0.1, 0.09, 0.09, 0.1, 0.1, 0.09, 0.1, 0.1, 0.095]
im_idx: 4, iters: 14, loss: -2.00, w: [0.095, 0.10500000000000001, 0.095, 0.095, 0.095, 0.095, 0.10500000000000001, 0.1, 0.1, 0.1]
im_idx: 5, iters: 1, loss: -3.93, w: [0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 6, iters: 6, loss: -0.96, w: [0.10500000000000001, 0.10500000000000001, 0.10500000000000001, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 7, iters: 12, loss: -2.12, w: [0.10500000000000001, 0.10500000000000001, 0.10500000000000001, 0.095, 0.10500000000000001, 0.10500000000000001, 0.1, 0.1, 0.1, 0.1]
im_idx: 10, iters: 14, loss: -0.07, w: [0.10500000000000001, 0.095, 0.095, 0.095, 0.10500000000000001, 0.095, 0.10500000000000001, 0.1, 0.1, 0.1]
im_idx: 11, iters: 20, loss: -0.54, w: [0.10500000000000001, 0.095, 0.10500000000000001, 0.095, 0.10500000000000001, 0.095, 0.10500000000000001, 0.095, 0.095, 0.10500000000000001]
im_idx: 12, iters: 2, loss: -1.50, w: [0.10500000000000001, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 14, iters: 33, loss: -0.09, w: [0.1, 0.1, 0.09, 0.1, 0.1, 0.1, 0.10500000000000001, 0.095, 0.10500000000000001, 0.10500000000000001]
im_idx: 15, iters: 1, loss: -0.54, w: [0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 16, iters: 1, loss: -0.66, w: [0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 17, iters: 2, loss: -2.29, w: [0.10500000000000001, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
