im_idx: 4, iters: 18, loss: -3.09, w: [0.255, 0.26, 0.25, 0.25]
im_idx: 5, iters: 1, loss: -5.06, w: [0.25, 0.25, 0.25, 0.25]
im_idx: 6, iters: 1, loss: -1.03, w: [0.25, 0.25, 0.25, 0.25]
im_idx: 7, iters: 7, loss: -0.62, w: [0.255, 0.255, 0.245, 0.25]
im_idx: 12, iters: 2, loss: -0.69, w: [0.255, 0.25, 0.25, 0.25]
im_idx: 14, iters: 22, loss: -0.97, w: [0.245, 0.265, 0.255, 0.25]
im_idx: 15, iters: 2, loss: -5.29, w: [0.255, 0.25, 0.25, 0.25]
im_idx: 16, iters: 1, loss: -1.63, w: [0.25, 0.25, 0.25, 0.25]
im_idx: 17, iters: 2, loss: -0.12, w: [0.255, 0.25, 0.25, 0.25]
im_idx: 21, iters: 1, loss: -0.93, w: [0.25, 0.25, 0.25, 0.25]
im_idx: 22, iters: 1, loss: -3.56, w: [0.25, 0.25, 0.25, 0.25]
im_idx: 23, iters: 15, loss: -0.20, w: [0.25, 0.24, 0.24, 0.255]
im_idx: 27, iters: 2, loss: -4.92, w: [0.255, 0.25, 0.25, 0.25]
im_idx: 29, iters: 1, loss: -0.13, w: [0.25, 0.25, 0.25, 0.25]
im_idx: 30, iters: 3, loss: -0.98, w: [0.245, 0.25, 0.25, 0.25]
im_idx: 31, iters: 2, loss: -2.93, w: [0.255, 0.25, 0.25, 0.25]
im_idx: 33, iters: 2, loss: -0.18, w: [0.255, 0.25, 0.25, 0.25]
im_idx: 36, iters: 1, loss: -1.50, w: [0.25, 0.25, 0.25, 0.25]
im_idx: 37, iters: 2, loss: -0.76, w: [0.255, 0.25, 0.25, 0.25]
im_idx: 40, iters: 24, loss: -2.46, w: [0.255, 0.265, 0.245, 0.255]
im_idx: 41, iters: 5, loss: -1.98, w: [0.255, 0.245, 0.25, 0.25]
im_idx: 42, iters: 1, loss: -0.73, w: [0.25, 0.25, 0.25, 0.25]
im_idx: 43, iters: 45, loss: -0.55, w: [0.27, 0.25, 0.255, 0.265]
im_idx: 44, iters: 3, loss: -2.51, w: [0.245, 0.25, 0.25, 0.25]
im_idx: 45, iters: 14, loss: -0.85, w: [0.26, 0.26, 0.26, 0.255]
im_idx: 48, iters: 16, loss: -0.40, w: [0.25, 0.26, 0.25, 0.26]
im_idx: 51, iters: 7, loss: -0.95, w: [0.255, 0.255, 0.245, 0.25]
im_idx: 52, iters: 8, loss: -0.38, w: [0.255, 0.255, 0.245, 0.255]
im_idx: 53, iters: 1, loss: -1.95, w: [0.25, 0.25, 0.25, 0.25]
im_idx: 54, iters: 10, loss: -0.35, w: [0.26, 0.255, 0.255, 0.255]
im_idx: 55, iters: 11, loss: -1.17, w: [0.25, 0.255, 0.255, 0.245]
im_idx: 56, iters: 10, loss: -1.66, w: [0.26, 0.245, 0.255, 0.255]
im_idx: 58, iters: 32, loss: -0.67, w: [0.27, 0.26, 0.27, 0.25]
im_idx: 60, iters: 3, loss: -0.92, w: [0.245, 0.25, 0.25, 0.25]
im_idx: 61, iters: 11, loss: -0.05, w: [0.25, 0.255, 0.255, 0.245]
im_idx: 62, iters: 2, loss: -1.19, w: [0.255, 0.25, 0.25, 0.25]
im_idx: 63, iters: 51, loss: -1.60, w: [0.265, 0.25, 0.24, 0.24]
im_idx: 66, iters: 9, loss: -1.96, w: [0.245, 0.245, 0.255, 0.245]
im_idx: 70, iters: 27, loss: -0.35, w: [0.24, 0.245, 0.245, 0.245]
im_idx: 71, iters: 9, loss: -0.08, w: [0.245, 0.245, 0.245, 0.245]
im_idx: 73, iters: 2, loss: -3.50, w: [0.255, 0.25, 0.25, 0.25]
im_idx: 75, iters: 2, loss: -2.33, w: [0.255, 0.25, 0.25, 0.25]
im_idx: 78, iters: 15, loss: -1.69, w: [0.24, 0.24, 0.24, 0.255]
im_idx: 79, iters: 1, loss: -0.59, w: [0.25, 0.25, 0.25, 0.25]
im_idx: 81, iters: 2, loss: -2.13, w: [0.255, 0.25, 0.25, 0.25]
im_idx: 82, iters: 1, loss: -4.60, w: [0.25, 0.25, 0.25, 0.25]
im_idx: 83, iters: 4, loss: -1.86, w: [0.245, 0.255, 0.25, 0.25]
im_idx: 84, iters: 4, loss: -0.68, w: [0.245, 0.255, 0.25, 0.25]
im_idx: 85, iters: 4, loss: -0.76, w: [0.255, 0.255, 0.25, 0.25]
im_idx: 88, iters: 11, loss: -0.43, w: [0.25, 0.245, 0.245, 0.245]
im_idx: 90, iters: 1, loss: -0.74, w: [0.25, 0.25, 0.25, 0.25]
im_idx: 96, iters: 5, loss: -0.01, w: [0.245, 0.245, 0.25, 0.25]
im_idx: 98, iters: 2, loss: -1.76, w: [0.255, 0.25, 0.25, 0.25]
