im_idx: 0, iters: 1, loss: 5.04, w: [0.255, 0.26, 0.25, 0.25]
im_idx: 1, iters: 51, loss: 7.90, w: [0.235, 0.25, 0.26, 0.25]
im_idx: 2, iters: 1, loss: 11.59, w: [0.255, 0.27, 0.25, 0.26]
im_idx: 3, iters: 1, loss: 4.38, w: [0.245, 0.24, 0.24, 0.27]
im_idx: 4, iters: 17, loss: -3.09, w: [0.255, 0.26, 0.25, 0.25]
im_idx: 5, iters: 1, loss: -5.06, w: [0.25, 0.25, 0.25, 0.25]
im_idx: 6, iters: 1, loss: -1.03, w: [0.25, 0.25, 0.25, 0.25]
im_idx: 7, iters: 1, loss: -0.62, w: [0.255, 0.255, 0.245, 0.25]
im_idx: 8, iters: 2, loss: 9.14, w: [0.265, 0.24, 0.25, 0.24]
im_idx: 9, iters: 7, loss: 6.29, w: [0.245, 0.24, 0.26, 0.22999999999999998]
im_idx: 10, iters: 1, loss: 3.43, w: [0.21499999999999997, 0.25, 0.25, 0.22999999999999998]
im_idx: 11, iters: 1, loss: 2.44, w: [0.255, 0.25, 0.24, 0.25]
im_idx: 12, iters: 1, loss: -0.69, w: [0.255, 0.25, 0.25, 0.25]
im_idx: 13, iters: 1, loss: 5.80, w: [0.255, 0.25, 0.27, 0.25]
im_idx: 14, iters: 1, loss: -0.97, w: [0.245, 0.265, 0.255, 0.25]
im_idx: 15, iters: 1, loss: -5.29, w: [0.255, 0.25, 0.25, 0.25]
im_idx: 16, iters: 1, loss: -1.63, w: [0.25, 0.25, 0.25, 0.25]
im_idx: 17, iters: 1, loss: -0.12, w: [0.255, 0.25, 0.25, 0.25]
im_idx: 19, iters: 2, loss: 2.44, w: [0.255, 0.22999999999999998, 0.25, 0.26]
im_idx: 20, iters: 1, loss: 3.23, w: [0.235, 0.24, 0.22999999999999998, 0.21999999999999997]
im_idx: 21, iters: 1, loss: -0.93, w: [0.25, 0.25, 0.25, 0.25]
im_idx: 22, iters: 1, loss: -3.56, w: [0.25, 0.25, 0.25, 0.25]
im_idx: 23, iters: 1, loss: -0.20, w: [0.25, 0.24, 0.24, 0.255]
im_idx: 24, iters: 1, loss: 12.10, w: [0.245, 0.25, 0.26, 0.25]
im_idx: 25, iters: 1, loss: 3.88, w: [0.265, 0.25, 0.27, 0.24]
im_idx: 26, iters: 16, loss: 3.52, w: [0.255, 0.24, 0.24, 0.24]
im_idx: 27, iters: 1, loss: -4.92, w: [0.255, 0.25, 0.25, 0.25]
im_idx: 28, iters: 18, loss: 5.21, w: [0.265, 0.25, 0.24, 0.26]
im_idx: 29, iters: 1, loss: -0.13, w: [0.25, 0.25, 0.25, 0.25]
im_idx: 30, iters: 1, loss: -0.98, w: [0.245, 0.25, 0.25, 0.25]
im_idx: 31, iters: 1, loss: -2.93, w: [0.255, 0.25, 0.25, 0.25]
im_idx: 32, iters: 44, loss: 0.39, w: [0.265, 0.24, 0.26, 0.25]
im_idx: 33, iters: 1, loss: -0.18, w: [0.255, 0.25, 0.25, 0.25]
im_idx: 34, iters: 8, loss: 9.66, w: [0.235, 0.26, 0.27, 0.26]
im_idx: 35, iters: 5, loss: 3.91, w: [0.255, 0.26, 0.26, 0.25]
im_idx: 36, iters: 1, loss: -1.50, w: [0.25, 0.25, 0.25, 0.25]
im_idx: 37, iters: 1, loss: -0.76, w: [0.255, 0.25, 0.25, 0.25]
im_idx: 38, iters: 1, loss: 3.71, w: [0.245, 0.24, 0.25, 0.24]
im_idx: 39, iters: 1, loss: 0.72, w: [0.265, 0.25, 0.22999999999999998, 0.26]
im_idx: 40, iters: 1, loss: -2.46, w: [0.255, 0.265, 0.245, 0.255]
im_idx: 41, iters: 1, loss: -1.98, w: [0.255, 0.245, 0.25, 0.25]
im_idx: 42, iters: 1, loss: -0.73, w: [0.25, 0.25, 0.25, 0.25]
im_idx: 43, iters: 1, loss: -0.55, w: [0.27, 0.25, 0.255, 0.265]
im_idx: 44, iters: 1, loss: -2.51, w: [0.245, 0.25, 0.25, 0.25]
im_idx: 45, iters: 1, loss: -0.85, w: [0.26, 0.26, 0.26, 0.255]
im_idx: 47, iters: 1, loss: 6.60, w: [0.235, 0.26, 0.25, 0.24]
im_idx: 48, iters: 1, loss: -0.40, w: [0.25, 0.26, 0.25, 0.26]
im_idx: 49, iters: 1, loss: 4.09, w: [0.255, 0.25, 0.25, 0.27]
im_idx: 50, iters: 1, loss: 5.38, w: [0.235, 0.25, 0.22999999999999998, 0.26]
im_idx: 51, iters: 1, loss: -0.95, w: [0.255, 0.255, 0.245, 0.25]
im_idx: 52, iters: 1, loss: -0.38, w: [0.255, 0.255, 0.245, 0.255]
im_idx: 53, iters: 1, loss: -1.95, w: [0.25, 0.25, 0.25, 0.25]
im_idx: 54, iters: 1, loss: -0.35, w: [0.26, 0.255, 0.255, 0.255]
im_idx: 55, iters: 1, loss: -1.17, w: [0.25, 0.255, 0.255, 0.245]
im_idx: 56, iters: 1, loss: -1.66, w: [0.26, 0.245, 0.255, 0.255]
im_idx: 57, iters: 1, loss: 8.97, w: [0.275, 0.24, 0.27, 0.27]
im_idx: 58, iters: 1, loss: -0.67, w: [0.27, 0.26, 0.27, 0.25]
im_idx: 59, iters: 5, loss: 7.44, w: [0.265, 0.24, 0.26, 0.24]
im_idx: 60, iters: 1, loss: -0.92, w: [0.245, 0.25, 0.25, 0.25]
im_idx: 61, iters: 1, loss: -0.05, w: [0.25, 0.255, 0.255, 0.245]
im_idx: 62, iters: 1, loss: -1.19, w: [0.255, 0.25, 0.25, 0.25]
im_idx: 63, iters: 1, loss: -1.60, w: [0.265, 0.25, 0.24, 0.24]
im_idx: 64, iters: 5, loss: 1.45, w: [0.275, 0.26, 0.27, 0.22999999999999998]
im_idx: 65, iters: 2, loss: 11.32, w: [0.245, 0.25, 0.25, 0.26]
im_idx: 66, iters: 1, loss: -1.96, w: [0.245, 0.245, 0.255, 0.245]
im_idx: 67, iters: 1, loss: 9.44, w: [0.245, 0.25, 0.22999999999999998, 0.25]
im_idx: 69, iters: 1, loss: 4.44, w: [0.255, 0.24, 0.25, 0.27]
im_idx: 70, iters: 27, loss: -0.35, w: [0.24, 0.245, 0.245, 0.245]
im_idx: 71, iters: 3, loss: -0.08, w: [0.245, 0.245, 0.245, 0.245]
im_idx: 72, iters: 1, loss: 5.46, w: [0.265, 0.25, 0.26, 0.24]
im_idx: 73, iters: 1, loss: -3.50, w: [0.255, 0.25, 0.25, 0.25]
im_idx: 74, iters: 1, loss: 9.78, w: [0.245, 0.21999999999999997, 0.24, 0.24]
im_idx: 75, iters: 1, loss: -2.33, w: [0.255, 0.25, 0.25, 0.25]
im_idx: 76, iters: 12, loss: 7.88, w: [0.255, 0.25, 0.26, 0.24]
im_idx: 77, iters: 1, loss: 3.07, w: [0.255, 0.27, 0.26, 0.24]
im_idx: 78, iters: 2, loss: -1.69, w: [0.24, 0.24, 0.24, 0.255]
im_idx: 79, iters: 1, loss: -0.59, w: [0.25, 0.25, 0.25, 0.25]
im_idx: 80, iters: 1, loss: 3.45, w: [0.235, 0.26, 0.25, 0.24]
im_idx: 81, iters: 1, loss: -2.13, w: [0.255, 0.25, 0.25, 0.25]
im_idx: 82, iters: 1, loss: -4.60, w: [0.25, 0.25, 0.25, 0.25]
im_idx: 83, iters: 2, loss: -1.86, w: [0.245, 0.255, 0.25, 0.25]
im_idx: 84, iters: 1, loss: -0.68, w: [0.245, 0.255, 0.25, 0.25]
im_idx: 85, iters: 1, loss: -0.76, w: [0.255, 0.255, 0.25, 0.25]
im_idx: 86, iters: 1, loss: 5.48, w: [0.255, 0.25, 0.26, 0.22999999999999998]
im_idx: 87, iters: 2, loss: 3.94, w: [0.235, 0.24, 0.21999999999999997, 0.24]
im_idx: 88, iters: 1, loss: -0.43, w: [0.25, 0.245, 0.245, 0.245]
im_idx: 89, iters: 4, loss: 3.94, w: [0.235, 0.25, 0.22999999999999998, 0.26]
im_idx: 90, iters: 1, loss: -0.74, w: [0.25, 0.25, 0.25, 0.25]
im_idx: 92, iters: 2, loss: 6.97, w: [0.22499999999999998, 0.25, 0.24, 0.24]
im_idx: 93, iters: 1, loss: 3.57, w: [0.255, 0.26, 0.27, 0.24]
im_idx: 94, iters: 3, loss: 2.06, w: [0.245, 0.24, 0.25, 0.26]
im_idx: 95, iters: 20, loss: 8.02, w: [0.245, 0.24, 0.24, 0.24]
im_idx: 96, iters: 1, loss: -0.01, w: [0.245, 0.245, 0.25, 0.25]
im_idx: 97, iters: 1, loss: 3.72, w: [0.255, 0.24, 0.25, 0.25]
im_idx: 98, iters: 1, loss: -1.76, w: [0.255, 0.25, 0.25, 0.25]
im_idx: 99, iters: 1, loss: 10.81, w: [0.255, 0.26, 0.25, 0.27]
